Measurement time:; 20/10/2023 19:27:56
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 240 x 240 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -222,5; 21,0; 1750,37; 677,3; 0,27
0,0; -221,6; 21,0; 861,06; 333,2; 0,17
0,0; -220,1; 21,0; 941,64; 364,4; 0,19
0,0; -219,1; 21,0; 818,65; 316,8; 0,16
0,0; -217,9; 21,0; 1120,31; 433,5; 0,23
0,0; -216,6; 21,0; 782,41; 302,8; 0,15
0,0; -215,4; 21,0; 716,62; 277,3; 0,15
0,0; -214,2; 21,0; 683,33; 264,4; 0,14
0,0; -213,0; 21,0; 1013,45; 392,2; 0,20
0,0; -211,8; 21,0; 666,92; 258,1; 0,14
0,0; -210,6; 21,0; 1197,90; 463,5; 0,23
0,0; -209,4; 21,0; 786,17; 304,2; 0,16
0,0; -208,2; 21,0; 1051,11; 406,7; 0,22
0,0; -207,0; 21,0; 1064,13; 411,8; 0,21
0,0; -205,8; 21,0; 1193,20; 461,7; 0,23
0,0; -204,6; 21,0; 925,09; 358,0; 0,18
0,0; -203,4; 21,0; 704,28; 272,5; 0,15
0,0; -202,2; 21,0; 961,08; 371,9; 0,20
0,0; -201,0; 21,0; 1013,94; 392,3; 0,20
0,0; -199,8; 21,0; 887,76; 343,5; 0,18
0,0; -198,6; 21,0; 825,34; 319,4; 0,16
0,0; -197,4; 21,0; 910,42; 352,3; 0,19
0,0; -196,2; 21,0; 894,50; 346,1; 0,18
0,0; -194,9; 21,0; 979,84; 379,1; 0,19
0,0; -193,8; 21,0; 1084,32; 419,6; 0,23
0,0; -192,6; 21,0; 956,62; 370,2; 0,18
0,0; -191,3; 21,0; 766,33; 296,5; 0,16
0,0; -190,2; 21,0; 1202,51; 465,3; 0,25
0,0; -188,9; 21,0; 1116,39; 432,0; 0,22
0,0; -187,7; 21,0; 980,06; 379,2; 0,20
0,0; -186,5; 21,0; 1296,42; 501,6; 0,25
0,0; -185,3; 21,0; 1367,74; 529,2; 0,28
0,0; -184,1; 21,0; 1140,97; 441,5; 0,23
0,0; -182,9; 21,0; 1267,30; 490,4; 0,24
0,0; -181,7; 21,0; 1152,54; 446,0; 0,24
0,0; -180,5; 21,0; 1206,18; 466,7; 0,23
0,0; -179,3; 21,0; 1285,46; 497,4; 0,26
0,0; -178,1; 21,0; 1274,96; 493,3; 0,26
0,0; -176,9; 21,0; 1125,12; 435,4; 0,22
0,0; -175,7; 21,0; 1254,76; 485,5; 0,24
0,0; -174,5; 21,0; 1475,89; 571,1; 0,28
0,0; -173,3; 21,0; 1212,55; 469,2; 0,25
0,0; -172,1; 21,0; 1240,50; 480,0; 0,26
0,0; -170,9; 21,0; 1568,86; 607,1; 0,30
0,0; -169,7; 21,0; 1479,55; 572,5; 0,28
0,0; -168,5; 21,0; 1232,03; 476,7; 0,24
0,0; -167,3; 21,0; 1089,72; 421,7; 0,22
0,0; -166,0; 21,0; 1445,69; 559,4; 0,30
0,0; -164,8; 21,0; 1691,87; 654,7; 0,32
0,0; -163,6; 21,0; 1400,70; 542,0; 0,29
0,0; -162,4; 21,0; 1446,22; 559,6; 0,28
0,0; -161,2; 21,0; 1247,97; 482,9; 0,26
0,0; -160,0; 21,0; 1364,51; 528,0; 0,28
0,0; -158,8; 21,0; 1663,89; 643,8; 0,32
0,0; -157,6; 21,0; 1301,90; 503,8; 0,27
0,0; -156,4; 21,0; 1521,14; 588,6; 0,29
0,0; -155,2; 21,0; 1328,81; 514,2; 0,27
0,0; -154,0; 21,0; 1557,01; 602,5; 0,32
0,0; -152,8; 21,0; 1229,53; 475,8; 0,23
0,0; -151,6; 21,0; 1540,84; 596,2; 0,32
0,0; -150,4; 21,0; 1656,68; 641,0; 0,32
0,0; -149,2; 21,0; 1612,34; 623,9; 0,33
0,0; -148,0; 21,0; 1404,96; 543,6; 0,29
0,0; -146,7; 21,0; 1464,01; 566,5; 0,28
0,0; -145,6; 21,0; 1650,47; 638,6; 0,32
0,0; -144,4; 21,0; 1586,37; 613,8; 0,31
0,0; -143,2; 21,0; 1307,17; 505,8; 0,25
0,0; -141,9; 21,0; 1379,92; 534,0; 0,29
0,0; -140,8; 21,0; 1299,36; 502,8; 0,25
0,0; -139,5; 21,0; 1420,35; 549,6; 0,29
0,0; -138,3; 21,0; 1545,03; 597,8; 0,30
0,0; -137,2; 21,0; 1206,72; 466,9; 0,25
0,0; -136,0; 21,0; 1420,70; 549,7; 0,29
0,0; -134,7; 21,0; 1525,85; 590,4; 0,29
0,0; -133,5; 21,0; 1848,52; 715,3; 0,35
0,0; -132,3; 21,0; 1532,44; 593,0; 0,29
0,0; -131,1; 21,0; 1558,53; 603,1; 0,32
0,0; -129,9; 21,0; 1738,38; 672,7; 0,36
0,0; -128,7; 21,0; 1769,52; 684,7; 0,34
0,0; -127,5; 21,0; 1895,48; 733,5; 0,37
0,0; -126,3; 21,0; 1716,22; 664,1; 0,33
0,0; -125,1; 21,0; 1923,42; 744,3; 0,37
0,0; -123,9; 21,0; 1712,28; 662,6; 0,36
0,0; -122,7; 21,0; 1915,33; 741,1; 0,37
0,0; -121,5; 21,0; 2172,47; 840,6; 0,42
0,0; -120,2; 21,0; 2197,20; 850,2; 0,43
0,0; -119,1; 21,0; 2285,17; 884,2; 0,46
0,0; -117,9; 21,0; 2364,62; 915,0; 0,49
0,0; -116,6; 21,0; 2433,44; 941,6; 0,47
0,0; -115,5; 21,0; 2504,08; 969,0; 0,51
0,0; -114,2; 21,0; 2624,40; 1015,5; 0,52
0,0; -113,1; 21,0; 2890,23; 1118,4; 0,58
0,0; -111,9; 21,0; 3021,09; 1169,0; 0,61
0,0; -110,7; 21,0; 3210,90; 1242,5; 0,62
0,0; -109,5; 21,0; 3336,82; 1291,2; 0,64
0,0; -108,2; 21,0; 3471,92; 1343,4; 0,70
0,0; -107,0; 21,0; 4145,86; 1604,2; 0,85
0,0; -105,8; 21,0; 4469,86; 1729,6; 0,89
0,0; -104,6; 21,0; 5528,97; 2139,4; 1,06
0,0; -103,4; 21,0; 6195,00; 2397,1; 1,19
0,0; -102,2; 21,0; 6963,93; 2694,7; 1,41
0,0; -101,1; 21,0; 7876,82; 3047,9; 1,63
0,0; -99,8; 21,0; 9617,33; 3721,4; 1,90
0,0; -98,6; 21,0; 11788,84; 4561,7; 2,28
0,0; -97,4; 21,0; 13954,19; 5399,5; 2,67
0,0; -96,2; 21,0; 16006,96; 6193,9; 3,26
0,0; -95,0; 21,0; 18683,08; 7229,4; 3,80
0,0; -93,8; 21,0; 23127,26; 8949,0; 4,58
0,0; -92,6; 21,0; 28786,16; 11138,7; 5,56
0,0; -91,4; 21,0; 32457,22; 12559,3; 6,64
0,0; -90,2; 21,0; 39342,08; 15223,3; 7,98
0,0; -89,0; 21,0; 46425,76; 17964,3; 9,53
0,0; -87,8; 21,0; 58860,00; 22775,7; 11,53
0,0; -86,6; 21,0; 72304,38; 27978,0; 13,99
0,0; -85,4; 21,0; 82426,33; 31894,7; 16,92
0,0; -84,2; 21,0; 100637,46; 38941,4; 20,65
0,0; -83,0; 21,0; 130319,36; 50426,8; 24,62
0,0; -81,8; 21,0; 151560,37; 58646,0; 29,83
0,0; -80,6; 21,0; 182943,09; 70789,4; 35,70
0,0; -79,4; 21,0; 205354,87; 79461,6; 42,17
0,0; -78,1; 21,0; 240663,87; 93124,4; 48,82
0,0; -76,9; 21,0; 267081,63; 103346,7; 55,32
0,0; -75,8; 21,0; 322706,72; 124870,7; 62,48
0,0; -74,6; 21,0; 357462,34; 138319,3; 68,88
0,0; -73,3; 21,0; 383629,70; 148444,7; 74,70
0,0; -72,1; 21,0; 396839,38; 153556,1; 79,72
0,0; -70,9; 21,0; 406253,36; 157198,8; 83,62
0,0; -69,7; 21,0; 451115,97; 174558,3; 87,38
0,0; -68,5; 21,0; 447303,81; 173083,2; 89,95
0,0; -67,3; 21,0; 450255,49; 174225,4; 92,32
0,0; -66,1; 21,0; 475855,01; 184131,1; 93,80
0,0; -64,9; 21,0; 463929,25; 179516,4; 95,06
0,0; -63,7; 21,0; 497851,94; 192642,7; 96,34
0,0; -62,5; 21,0; 483981,87; 187275,7; 97,18
0,0; -61,3; 21,0; 476083,38; 184219,4; 97,85
0,0; -60,1; 21,0; 498149,70; 192757,9; 98,36
0,0; -58,9; 21,0; 479865,51; 185682,9; 98,72
0,0; -57,7; 21,0; 517210,31; 200133,4; 99,11
0,0; -56,5; 21,0; 519702,51; 201097,7; 99,68
0,0; -55,3; 21,0; 495138,76; 191592,9; 99,84
0,0; -54,0; 21,0; 505891,58; 195753,6; 99,95
0,0; -52,9; 21,0; 488546,88; 189042,1; 99,94
0,0; -51,7; 21,0; 516924,25; 200022,7; 100,35
0,0; -50,5; 21,0; 525056,92; 203169,6; 100,48
0,0; -49,3; 21,0; 498847,87; 193028,1; 100,69
0,0; -48,0; 21,0; 514055,50; 198912,7; 100,67
0,0; -46,8; 21,0; 525650,66; 203399,4; 100,74
0,0; -45,6; 21,0; 523971,44; 202749,6; 100,44
0,0; -44,4; 21,0; 490758,07; 189897,8; 100,95
0,0; -43,2; 21,0; 493775,54; 191065,4; 100,80
0,0; -42,0; 21,0; 517984,67; 200433,0; 100,94
0,0; -40,8; 21,0; 529760,86; 204989,8; 100,77
0,0; -39,6; 21,0; 521407,80; 201757,6; 100,44
0,0; -38,4; 21,0; 495608,32; 191774,6; 101,06
0,0; -37,2; 21,0; 490848,21; 189932,6; 101,03
0,0; -36,0; 21,0; 516676,47; 199926,8; 100,88
0,0; -34,7; 21,0; 526759,30; 203828,4; 100,62
0,0; -33,6; 21,0; 524685,75; 203026,0; 100,73
0,0; -32,3; 21,0; 487431,19; 188610,4; 100,78
0,0; -31,2; 21,0; 490417,40; 189765,9; 100,90
0,0; -29,9; 21,0; 518078,21; 200469,2; 100,76
0,0; -28,8; 21,0; 526237,86; 203626,6; 100,84
0,0; -27,6; 21,0; 519604,23; 201059,7; 100,76
0,0; -26,3; 21,0; 525264,93; 203250,1; 100,66
0,0; -25,1; 21,0; 487688,84; 188710,1; 100,65
0,0; -23,9; 21,0; 515725,26; 199558,8; 100,53
0,0; -22,8; 21,0; 526092,36; 203570,3; 100,37
0,0; -21,5; 21,0; 523306,70; 202492,4; 100,51
0,0; -20,3; 21,0; 482005,15; 186510,8; 100,53
0,0; -19,2; 21,0; 489115,59; 189262,2; 100,34
0,0; -17,9; 21,0; 519399,97; 200980,7; 100,55
0,0; -16,8; 21,0; 493035,02; 190778,8; 100,33
0,0; -15,5; 21,0; 518838,20; 200763,3; 100,47
0,0; -14,3; 21,0; 491798,14; 190300,2; 100,47
0,0; -13,1; 21,0; 487523,60; 188646,2; 100,24
0,0; -11,9; 21,0; 519093,25; 200862,0; 100,23
0,0; -10,7; 21,0; 487518,94; 188644,4; 99,89
0,0; -9,4; 21,0; 520526,39; 201416,5; 100,16
0,0; -8,3; 21,0; 486398,97; 188211,0; 100,20
0,0; -7,1; 21,0; 486303,57; 188174,1; 100,22
0,0; -5,8; 21,0; 518356,93; 200577,1; 99,80
0,0; -4,7; 21,0; 485915,15; 188023,8; 100,07
0,0; -3,4; 21,0; 521642,70; 201848,5; 100,11
0,0; -2,2; 21,0; 521268,66; 201703,8; 100,16
0,0; -1,1; 21,0; 481802,46; 186432,4; 100,02
0,0; 0,2; 21,0; 524319,13; 202884,1; 100,00
0,0; 1,4; 21,0; 523569,10; 202593,9; 99,99
0,0; 2,6; 21,0; 519552,36; 201039,6; 99,66
0,0; 3,8; 21,0; 481923,17; 186479,1; 100,00
0,0; 5,0; 21,0; 486522,32; 188258,7; 100,01
0,0; 6,2; 21,0; 520141,61; 201267,7; 100,10
0,0; 7,4; 21,0; 523104,80; 202414,3; 99,84
0,0; 8,6; 21,0; 486843,18; 188382,9; 100,14
0,0; 9,8; 21,0; 513985,43; 198885,5; 100,00
0,0; 11,0; 21,0; 483470,84; 187078,0; 100,03
0,0; 12,2; 21,0; 521825,02; 201919,0; 100,11
0,0; 13,4; 21,0; 520786,73; 201517,3; 100,02
0,0; 14,6; 21,0; 521204,81; 201679,1; 100,11
0,0; 15,8; 21,0; 480730,84; 186017,7; 99,94
0,0; 17,0; 21,0; 485861,15; 188002,9; 100,10
0,0; 18,2; 21,0; 518461,68; 200617,6; 100,12
0,0; 19,4; 21,0; 522266,43; 202089,9; 100,05
0,0; 20,6; 21,0; 518832,93; 200761,3; 100,08
0,0; 21,8; 21,0; 520473,81; 201396,2; 99,95
0,0; 23,0; 21,0; 484507,58; 187479,1; 100,14
0,0; 24,2; 21,0; 518726,50; 200720,1; 99,92
0,0; 25,4; 21,0; 523491,82; 202564,0; 100,21
0,0; 26,6; 21,0; 519143,15; 200881,3; 100,09
0,0; 27,8; 21,0; 486261,08; 188157,7; 100,14
0,0; 29,0; 21,0; 485867,66; 188005,4; 100,21
0,0; 30,3; 21,0; 520834,23; 201535,7; 100,16
0,0; 31,4; 21,0; 486614,56; 188294,4; 99,99
0,0; 32,6; 21,0; 519086,58; 200859,4; 100,09
0,0; 33,9; 21,0; 489350,87; 189353,2; 99,83
0,0; 35,1; 21,0; 481400,13; 186276,7; 100,30
0,0; 36,2; 21,0; 523052,25; 202393,9; 99,85
0,0; 37,5; 21,0; 519472,11; 201008,6; 99,97
0,0; 38,7; 21,0; 509436,03; 197125,2; 99,97
0,0; 39,9; 21,0; 534581,64; 206855,2; 100,29
0,0; 41,1; 21,0; 485070,28; 187696,9; 100,16
0,0; 42,3; 21,0; 518951,47; 200807,1; 99,81
0,0; 43,5; 21,0; 519006,22; 200828,3; 99,93
0,0; 44,7; 21,0; 495182,71; 191609,9; 99,93
0,0; 45,9; 21,0; 541436,68; 209507,7; 100,14
0,0; 47,1; 21,0; 484521,38; 187484,5; 99,83
0,0; 48,3; 21,0; 518614,33; 200676,7; 100,01
0,0; 49,6; 21,0; 524109,59; 202803,1; 99,92
0,0; 50,7; 21,0; 495750,52; 191829,6; 99,93
0,0; 51,9; 21,0; 491425,42; 190156,0; 99,64
0,0; 53,1; 21,0; 494886,92; 191495,4; 99,46
0,0; 54,3; 21,0; 520618,45; 201452,2; 99,33
0,0; 55,6; 21,0; 514825,99; 199210,8; 98,93
0,0; 56,8; 21,0; 476404,51; 184343,7; 98,68
0,0; 57,9; 21,0; 499474,34; 193270,5; 98,29
0,0; 59,2; 21,0; 486526,56; 188260,4; 97,73
0,0; 60,3; 21,0; 511991,29; 198113,9; 97,47
0,0; 61,6; 21,0; 465344,84; 180064,2; 96,60
0,0; 62,8; 21,0; 475399,84; 183954,9; 95,80
0,0; 64,0; 21,0; 496710,43; 192201,0; 94,91
0,0; 65,2; 21,0; 473720,36; 183305,1; 93,45
0,0; 66,4; 21,0; 477153,22; 184633,4; 91,73
0,0; 67,6; 21,0; 434017,56; 167942,1; 89,56
0,0; 68,8; 21,0; 424355,32; 164203,4; 86,70
0,0; 70,0; 21,0; 440986,37; 170638,7; 83,51
0,0; 71,2; 21,0; 400283,99; 154889,0; 79,13
0,0; 72,4; 21,0; 383978,31; 148579,6; 74,16
0,0; 73,6; 21,0; 356219,78; 137838,5; 68,52
0,0; 74,8; 21,0; 307550,41; 119006,0; 62,34
0,0; 76,0; 21,0; 271935,48; 105224,8; 55,75
0,0; 77,2; 21,0; 247411,12; 95735,2; 48,68
0,0; 78,4; 21,0; 217673,07; 84228,1; 42,09
0,0; 79,6; 21,0; 187799,84; 72668,7; 35,70
0,0; 80,8; 21,0; 145988,37; 56489,9; 29,99
0,0; 82,0; 21,0; 123293,37; 47708,1; 25,08
0,0; 83,2; 21,0; 105061,26; 40653,2; 20,59
0,0; 84,4; 21,0; 88096,40; 34088,7; 17,03
0,0; 85,6; 21,0; 68168,62; 26377,7; 13,96
0,0; 86,8; 21,0; 57158,16; 22117,2; 11,58
