Measurement time:; 27/05/2023 11:15:39
0,0; 0,0; 6,5; 21075,06; 178022,9; 92,87
0,0; 0,0; 7,5; 21632,81; 182734,3; 95,31
0,0; 0,0; 8,5; 22024,87; 186046,1; 97,03
0,0; 0,0; 9,5; 22280,68; 188206,9; 98,15
0,0; 0,0; 10,5; 22478,20; 189875,3; 99,02
0,0; 0,0; 11,5; 22594,20; 190855,2; 99,58
0,0; 0,0; 12,5; 22660,77; 191417,5; 99,86
0,0; 0,0; 13,5; 22701,64; 191762,8; 100,00
0,0; 0,0; 14,5; 22684,05; 191614,2; 99,93
0,0; 0,0; 15,5; 22597,19; 190880,5; 99,57
0,0; 0,0; 16,5; 22517,13; 190204,2; 99,17
0,0; 0,0; 17,5; 22445,31; 189597,5; 98,86
0,0; 0,0; 18,5; 22348,70; 188781,4; 98,47
0,0; 0,0; 19,5; 22237,65; 187843,4; 97,94
0,0; 0,0; 20,5; 22109,46; 186760,6; 97,37
0,0; 0,0; 21,5; 21970,04; 185582,9; 96,79
0,0; 0,0; 22,5; 21808,11; 184215,0; 96,10
0,0; 0,0; 23,5; 21693,25; 183244,8; 95,56
0,0; 0,0; 24,5; 21560,06; 182119,8; 94,98
0,0; 0,0; 25,5; 21391,93; 180699,6; 94,23
0,0; 0,0; 26,5; 21260,44; 179588,8; 93,64
0,0; 0,0; 27,5; 21128,94; 178478,1; 93,05
0,0; 0,0; 28,5; 20997,45; 177367,3; 92,46
0,0; 0,0; 29,5; 20865,95; 176256,6; 91,87
0,0; 0,0; 30,5; 20727,66; 175088,4; 91,27
0,0; 0,0; 31,5; 20585,33; 173886,1; 90,65
0,0; 0,0; 32,5; 20443,00; 172683,8; 90,03
0,0; 0,0; 33,5; 20300,66; 171481,5; 89,41
0,0; 0,0; 34,5; 20158,33; 170279,2; 88,79
0,0; 0,0; 35,5; 20019,51; 169106,6; 88,18
0,0; 0,0; 36,5; 19882,90; 167952,7; 87,57
0,0; 0,0; 37,5; 19746,30; 166798,7; 86,96
0,0; 0,0; 38,5; 19609,69; 165644,8; 86,35
0,0; 0,0; 39,5; 19473,08; 164490,9; 85,74
0,0; 0,0; 40,5; 19339,98; 163366,5; 85,16
0,0; 0,0; 41,5; 19209,36; 162263,1; 84,59
0,0; 0,0; 42,5; 19078,73; 161159,8; 84,02
0,0; 0,0; 43,5; 18948,11; 160056,4; 83,45
0,0; 0,0; 44,5; 18817,49; 158953,1; 82,88
0,0; 0,0; 45,5; 18683,32; 157819,7; 82,29
0,0; 0,0; 46,5; 18546,10; 156660,5; 81,69
0,0; 0,0; 47,5; 18408,87; 155501,4; 81,09
0,0; 0,0; 48,5; 18271,65; 154342,3; 80,49
0,0; 0,0; 49,5; 18134,43; 153183,1; 79,89
0,0; 0,0; 50,5; 18003,80; 152079,7; 79,32
0,0; 0,0; 51,5; 17878,15; 151018,3; 78,75
0,0; 0,0; 52,5; 17752,50; 149956,9; 78,19
0,0; 0,0; 53,5; 17626,85; 148895,6; 77,63
0,0; 0,0; 54,5; 17501,20; 147834,2; 77,06
0,0; 0,0; 55,5; 17374,62; 146765,0; 76,50
0,0; 0,0; 56,5; 17247,22; 145688,8; 75,95
0,0; 0,0; 57,5; 17119,82; 144612,6; 75,39
0,0; 0,0; 58,5; 16992,41; 143536,4; 74,84
0,0; 0,0; 59,5; 16865,01; 142460,2; 74,28
0,0; 0,0; 60,5; 16745,29; 141448,9; 73,75
0,0; 0,0; 61,5; 16632,75; 140498,3; 73,24
0,0; 0,0; 62,5; 16520,21; 139547,7; 72,73
0,0; 0,0; 63,5; 16407,67; 138597,1; 72,22
0,0; 0,0; 64,5; 16295,14; 137646,5; 71,71
0,0; 0,0; 65,5; 16181,15; 136683,6; 71,21
0,0; 0,0; 66,5; 16065,66; 135708,0; 70,71
0,0; 0,0; 67,5; 15950,17; 134732,5; 70,21
0,0; 0,0; 68,5; 15834,67; 133756,9; 69,71
0,0; 0,0; 69,5; 15719,18; 132781,3; 69,21
0,0; 0,0; 70,5; 15604,57; 131813,2; 68,72
0,0; 0,0; 71,5; 15490,85; 130852,6; 68,22
0,0; 0,0; 72,5; 15377,12; 129891,9; 67,73
0,0; 0,0; 73,5; 15263,39; 128931,2; 67,24
0,0; 0,0; 74,5; 15149,66; 127970,5; 66,74
0,0; 0,0; 75,5; 15039,14; 127037,0; 66,26
0,0; 0,0; 76,5; 14932,01; 126132,0; 65,78
0,0; 0,0; 77,5; 14824,87; 125227,0; 65,31
0,0; 0,0; 78,5; 14717,74; 124322,1; 64,83
0,0; 0,0; 79,5; 14610,60; 123417,1; 64,36
0,0; 0,0; 80,5; 14506,01; 122533,6; 63,89
0,0; 0,0; 81,5; 14404,63; 121677,2; 63,44
0,0; 0,0; 82,5; 14303,24; 120820,8; 62,99
0,0; 0,0; 83,5; 14201,86; 119964,4; 62,54
0,0; 0,0; 84,5; 14100,47; 119108,0; 62,09
0,0; 0,0; 85,5; 14001,96; 118275,8; 61,65
0,0; 0,0; 86,5; 13906,60; 117470,3; 61,22
0,0; 0,0; 87,5; 13811,24; 116664,8; 60,79
0,0; 0,0; 88,5; 13715,88; 115859,3; 60,36
0,0; 0,0; 89,5; 13620,52; 115053,8; 59,93
0,0; 0,0; 90,5; 13525,44; 114250,6; 59,51
0,0; 0,0; 91,5; 13430,73; 113450,6; 59,09
0,0; 0,0; 92,5; 13336,02; 112650,6; 58,68
0,0; 0,0; 93,5; 13241,32; 111850,6; 58,27
0,0; 0,0; 94,5; 13146,61; 111050,6; 57,85
0,0; 0,0; 95,5; 13051,30; 110245,5; 57,43
0,0; 0,0; 96,5; 12955,15; 109433,3; 57,01
0,0; 0,0; 97,5; 12859,00; 108621,1; 56,59
0,0; 0,0; 98,5; 12762,85; 107808,9; 56,16
0,0; 0,0; 99,5; 12666,70; 106996,8; 55,74
0,0; 0,0; 100,5; 12575,83; 106229,2; 55,34
0,0; 0,0; 101,5; 12491,93; 105520,5; 54,97
0,0; 0,0; 102,5; 12408,03; 104811,7; 54,59
0,0; 0,0; 103,5; 12324,13; 104103,0; 54,22
0,0; 0,0; 104,5; 12240,23; 103394,3; 53,85
0,0; 0,0; 105,5; 12153,58; 102662,3; 53,47
0,0; 0,0; 106,5; 12063,37; 101900,4; 53,08
0,0; 0,0; 107,5; 11973,17; 101138,4; 52,70
0,0; 0,0; 108,5; 11882,96; 100376,4; 52,31
0,0; 0,0; 109,5; 11792,76; 99614,5; 51,92
0,0; 0,0; 110,5; 11708,06; 98899,0; 51,55
0,0; 0,0; 111,5; 11630,47; 98243,6; 51,21
0,0; 0,0; 112,5; 11552,88; 97588,2; 50,87
0,0; 0,0; 113,5; 11475,30; 96932,9; 50,53
0,0; 0,0; 114,5; 11397,71; 96277,5; 50,19
0,0; 0,0; 115,5; 11318,57; 95608,9; 49,84
0,0; 0,0; 116,5; 11237,63; 94925,3; 49,47
0,0; 0,0; 117,5; 11156,69; 94241,6; 49,11
0,0; 0,0; 118,5; 11075,76; 93557,9; 48,75
0,0; 0,0; 119,5; 10994,82; 92874,2; 48,38
0,0; 0,0; 120,5; 10917,53; 92221,3; 48,04
0,0; 0,0; 121,5; 10844,91; 91607,9; 47,73
0,0; 0,0; 122,5; 10772,30; 90994,5; 47,41
0,0; 0,0; 123,5; 10699,68; 90381,1; 47,09
0,0; 0,0; 124,5; 10627,06; 89767,7; 46,78
0,0; 0,0; 125,5; 10553,50; 89146,3; 46,46
0,0; 0,0; 126,5; 10478,72; 88514,7; 46,13
0,0; 0,0; 127,5; 10403,94; 87883,0; 45,80
0,0; 0,0; 128,5; 10329,16; 87251,3; 45,47
0,0; 0,0; 129,5; 10254,37; 86619,6; 45,14
0,0; 0,0; 130,5; 10180,91; 85999,0; 44,81
0,0; 0,0; 131,5; 10109,24; 85393,7; 44,50
0,0; 0,0; 132,5; 10037,57; 84788,3; 44,18
0,0; 0,0; 133,5; 9965,90; 84182,9; 43,86
0,0; 0,0; 134,5; 9894,23; 83577,5; 43,55
0,0; 0,0; 135,5; 9825,91; 83000,4; 43,24
0,0; 0,0; 136,5; 9762,00; 82460,5; 42,96
0,0; 0,0; 137,5; 9698,09; 81920,7; 42,67
0,0; 0,0; 138,5; 9634,19; 81380,8; 42,39
0,0; 0,0; 139,5; 9570,28; 80841,0; 42,10
0,0; 0,0; 140,5; 9505,54; 80294,1; 41,81
0,0; 0,0; 141,5; 9439,79; 79738,8; 41,52
0,0; 0,0; 142,5; 9374,05; 79183,4; 41,23
0,0; 0,0; 143,5; 9308,31; 78628,1; 40,94
0,0; 0,0; 144,5; 9242,56; 78072,8; 40,65
0,0; 0,0; 145,5; 9177,34; 77521,8; 40,37
0,0; 0,0; 146,5; 9112,82; 76976,8; 40,09
0,0; 0,0; 147,5; 9048,30; 76431,8; 39,81
0,0; 0,0; 148,5; 8983,79; 75886,9; 39,53
0,0; 0,0; 149,5; 8919,27; 75341,9; 39,25
0,0; 0,0; 150,5; 8857,78; 74822,5; 38,98
0,0; 0,0; 151,5; 8800,30; 74336,9; 38,73
0,0; 0,0; 152,5; 8742,81; 73851,3; 38,47
0,0; 0,0; 153,5; 8685,33; 73365,8; 38,22
0,0; 0,0; 154,5; 8627,85; 72880,2; 37,97
0,0; 0,0; 155,5; 8568,71; 72380,6; 37,70
0,0; 0,0; 156,5; 8507,11; 71860,3; 37,43
0,0; 0,0; 157,5; 8445,52; 71340,0; 37,16
0,0; 0,0; 158,5; 8383,92; 70819,8; 36,89
0,0; 0,0; 159,5; 8322,33; 70299,5; 36,62
0,0; 0,0; 160,5; 8264,62; 69811,9; 36,37
0,0; 0,0; 161,5; 8212,39; 69370,8; 36,14
0,0; 0,0; 162,5; 8160,17; 68929,7; 35,91
0,0; 0,0; 163,5; 8107,95; 68488,6; 35,68
0,0; 0,0; 164,5; 8055,73; 68047,4; 35,45
0,0; 0,0; 165,5; 8002,69; 67599,4; 35,22
0,0; 0,0; 166,5; 7948,56; 67142,2; 34,98
0,0; 0,0; 167,5; 7894,44; 66685,1; 34,74
0,0; 0,0; 168,5; 7840,32; 66227,9; 34,50
0,0; 0,0; 169,5; 7786,20; 65770,7; 34,26
0,0; 0,0; 170,5; 7732,26; 65315,1; 34,02
0,0; 0,0; 171,5; 7678,58; 64861,6; 33,79
0,0; 0,0; 172,5; 7624,89; 64408,1; 33,55
0,0; 0,0; 173,5; 7571,20; 63954,6; 33,32
0,0; 0,0; 174,5; 7517,51; 63501,1; 33,09
0,0; 0,0; 175,5; 7465,99; 63065,9; 32,86
0,0; 0,0; 176,5; 7417,50; 62656,3; 32,65
0,0; 0,0; 177,5; 7369,02; 62246,8; 32,43
0,0; 0,0; 178,5; 7320,53; 61837,2; 32,22
0,0; 0,0; 179,5; 7272,05; 61427,6; 32,00
0,0; 0,0; 180,5; 7222,28; 61007,3; 31,78
0,0; 0,0; 181,5; 7170,83; 60572,6; 31,55
0,0; 0,0; 182,5; 7119,37; 60138,0; 31,33
0,0; 0,0; 183,5; 7067,92; 59703,3; 31,10
0,0; 0,0; 184,5; 7016,46; 59268,7; 30,87
0,0; 0,0; 185,5; 6968,82; 58866,3; 30,66
0,0; 0,0; 186,5; 6925,88; 58503,5; 30,47
0,0; 0,0; 187,5; 6882,94; 58140,8; 30,28
0,0; 0,0; 188,5; 6840,00; 57778,1; 30,09
0,0; 0,0; 189,5; 6797,06; 57415,4; 29,90
0,0; 0,0; 190,5; 6754,03; 57051,9; 29,72
0,0; 0,0; 191,5; 6710,88; 56687,4; 29,53
0,0; 0,0; 192,5; 6667,73; 56322,9; 29,34
0,0; 0,0; 193,5; 6624,58; 55958,4; 29,15
0,0; 0,0; 194,5; 6581,43; 55593,9; 28,96
0,0; 0,0; 195,5; 6537,46; 55222,5; 28,76
0,0; 0,0; 196,5; 6492,54; 54843,1; 28,57
0,0; 0,0; 197,5; 6447,63; 54463,7; 28,37
0,0; 0,0; 198,5; 6402,72; 54084,4; 28,17
0,0; 0,0; 199,5; 6357,81; 53705,0; 27,97
0,0; 0,0; 200,5; 6314,91; 53342,6; 27,78
0,0; 0,0; 201,5; 6274,30; 52999,6; 27,61
0,0; 0,0; 202,5; 6233,70; 52656,6; 27,43
0,0; 0,0; 203,5; 6193,09; 52313,6; 27,25
0,0; 0,0; 204,5; 6152,48; 51970,6; 27,08
0,0; 0,0; 205,5; 6111,02; 51620,3; 26,90
0,0; 0,0; 206,5; 6068,29; 51259,4; 26,70
0,0; 0,0; 207,5; 6025,56; 50898,5; 26,51
0,0; 0,0; 208,5; 5982,83; 50537,5; 26,32
0,0; 0,0; 209,5; 5940,10; 50176,6; 26,13
0,0; 0,0; 210,5; 5901,04; 49846,7; 25,96
0,0; 0,0; 211,5; 5866,24; 49552,7; 25,81
0,0; 0,0; 212,5; 5831,44; 49258,7; 25,65
0,0; 0,0; 213,5; 5796,64; 48964,7; 25,50
0,0; 0,0; 214,5; 5761,83; 48670,7; 25,35
0,0; 0,0; 215,5; 5725,57; 48364,4; 25,19
0,0; 0,0; 216,5; 5687,53; 48043,1; 25,02
0,0; 0,0; 217,5; 5649,49; 47721,8; 24,85
0,0; 0,0; 218,5; 5611,45; 47400,4; 24,68
0,0; 0,0; 219,5; 5573,41; 47079,1; 24,51
0,0; 0,0; 220,5; 5536,04; 46763,4; 24,34
0,0; 0,0; 221,5; 5499,53; 46455,0; 24,19
0,0; 0,0; 222,5; 5463,01; 46146,6; 24,03
0,0; 0,0; 223,5; 5426,50; 45838,1; 23,87
0,0; 0,0; 224,5; 5389,99; 45529,7; 23,72
0,0; 0,0; 225,5; 5355,04; 45234,5; 23,57
0,0; 0,0; 226,5; 5322,08; 44956,1; 23,42
0,0; 0,0; 227,5; 5289,12; 44677,7; 23,27
0,0; 0,0; 228,5; 5256,16; 44399,3; 23,13
0,0; 0,0; 229,5; 5223,20; 44120,8; 22,98
0,0; 0,0; 230,5; 5188,64; 43828,9; 22,83
0,0; 0,0; 231,5; 5152,24; 43521,4; 22,67
0,0; 0,0; 232,5; 5115,84; 43214,0; 22,51
0,0; 0,0; 233,5; 5079,44; 42906,5; 22,35
0,0; 0,0; 234,5; 5043,04; 42599,0; 22,18
0,0; 0,0; 235,5; 5009,29; 42313,9; 22,04
0,0; 0,0; 236,5; 4978,94; 42057,6; 21,90
0,0; 0,0; 237,5; 4948,59; 41801,2; 21,77
0,0; 0,0; 238,5; 4918,24; 41544,8; 21,63
0,0; 0,0; 239,5; 4887,88; 41288,4; 21,50
0,0; 0,0; 240,5; 4857,17; 41028,9; 21,36
0,0; 0,0; 241,5; 4826,03; 40765,9; 21,22
0,0; 0,0; 242,5; 4794,89; 40502,9; 21,09
0,0; 0,0; 243,5; 4763,75; 40239,8; 20,95
0,0; 0,0; 244,5; 4732,61; 39976,8; 20,81
0,0; 0,0; 245,5; 4702,01; 39718,3; 20,68
0,0; 0,0; 246,5; 4672,05; 39465,2; 20,55
0,0; 0,0; 247,5; 4642,10; 39212,2; 20,42
0,0; 0,0; 248,5; 4612,14; 38959,2; 20,29
0,0; 0,0; 249,5; 4582,19; 38706,2; 20,16


